,city_name,province_name,迁徙指数
0,佛山市,广东省,322.382643192
1,东莞市,广东省,146.48365134
2,深圳市,广东省,141.620631336
3,清远市,广东省,58.119019560000005
4,中山市,广东省,46.25799516
5,惠州市,广东省,44.597451744
6,肇庆市,广东省,33.80391954
7,江门市,广东省,32.380596612
8,珠海市,广东省,30.601442952
9,湛江市,广东省,14.707670256
10,韶关市,广东省,14.707670256
11,茂名市,广东省,13.165737084000002
12,云浮市,广东省,11.267973179999998
13,阳江市,广东省,10.67492196
14,长沙市,湖南省,9.963260496
15,上海市,上海市,9.844650252
16,汕头市,广东省,8.777158056
17,河源市,广东省,8.539937568
18,梅州市,广东省,8.539937568
19,北京市,北京市,8.539937568
20,揭阳市,广东省,7.70966586
21,汕尾市,广东省,6.642173664
22,南宁市,广西壮族自治区,6.642173664
23,重庆市,重庆市,6.049122444
24,武汉市,湖北省,5.9305122
25,衡阳市,湖南省,5.811901956
26,赣州市,江西省,5.693291712
27,成都市,四川省,5.218850736
28,杭州市,浙江省,5.218850736
29,桂林市,广西壮族自治区,4.1513585399999995
30,郴州市,湖南省,4.032748296
31,梧州市,广西壮族自治区,3.795527808
32,厦门市,福建省,3.795527808
33,潮州市,广东省,3.321086832
34,玉林市,广西壮族自治区,2.9652561
35,南京市,江苏省,2.846645856
36,永州市,湖南省,2.846645856
37,贵港市,广西壮族自治区,2.728035612
38,海口市,海南省,2.728035612
39,郑州市,河南省,2.728035612
40,南昌市,江西省,2.728035612
41,昆明市,云南省,2.37220488
42,贵阳市,贵州省,2.37220488
43,贺州市,广西壮族自治区,2.253594636
44,泉州市,福建省,2.134984392
45,西安市,陕西省,2.016374148
46,福州市,福建省,1.897763904
47,邵阳市,湖南省,1.77915366
48,钦州市,广西壮族自治区,1.77915366
49,天津市,天津市,1.77915366
50,柳州市,广西壮族自治区,1.77915366
51,合肥市,安徽省,1.660543416
52,株洲市,湖南省,1.541933172
53,温州市,浙江省,1.541933172
54,宜春市,江西省,1.541933172
55,三亚市,海南省,1.541933172
56,宁波市,浙江省,1.423322928
57,北海市,广西壮族自治区,1.423322928
58,岳阳市,湖南省,1.423322928
59,苏州市,江苏省,1.304712684
60,青岛市,山东省,1.304712684
61,漳州市,福建省,1.304712684
62,济南市,山东省,1.18610244
63,吉安市,江西省,1.18610244
64,荆州市,湖北省,1.18610244
65,无锡市,江苏省,1.067492196
66,金华市,浙江省,1.067492196
67,石家庄市,河北省,1.067492196
68,常德市,湖南省,1.067492196
69,益阳市,湖南省,1.067492196
70,遵义市,贵州省,0.948881952
71,沈阳市,辽宁省,0.948881952
72,南阳市,河南省,0.948881952
73,娄底市,湖南省,0.948881952
74,太原市,山西省,0.830271708
75,黔东南苗族侗族自治州,贵州省,0.830271708
76,怀化市,湖南省,0.830271708
77,驻马店市,河南省,0.830271708
78,哈尔滨市,黑龙江省,0.830271708
79,百色市,广西壮族自治区,0.830271708
80,湘潭市,湖南省,0.830271708
81,大连市,辽宁省,0.711661464
82,上饶市,江西省,0.711661464
83,襄阳市,湖北省,0.59305122
84,宜昌市,湖北省,0.59305122
85,黄冈市,湖北省,0.59305122
86,湘西土家族苗族自治州,湖南省,0.59305122
87,黔南布依族苗族自治州,贵州省,0.59305122
88,临沂市,山东省,0.59305122
89,长春市,吉林省,0.59305122
90,龙岩市,福建省,0.59305122
91,常州市,江苏省,0.59305122
92,九江市,江西省,0.59305122
93,洛阳市,河南省,0.59305122
94,信阳市,河南省,0.59305122
95,绍兴市,浙江省,0.59305122
96,嘉兴市,浙江省,0.59305122
97,崇左市,广西壮族自治区,0.59305122
98,铜仁市,贵州省,0.474440976
99,兰州市,甘肃省,0.474440976
